BENE_STATE_DESC,BENE_STATE_ABRVTN,BENE_COUNTY_DESC,BENE_FIPS_CD,BENE_GEO_LVL,YEAR,MONTH,TOT_BENES
Texas,TX,Burnet County,48053,County,2020,Year,13115
Texas,TX,Caldwell County,48055,County,2020,Year,7700
Texas,TX,Calhoun County,48057,County,2020,Year,4250
Texas,TX,Callahan County,48059,County,2020,Year,3356
Texas,TX,Cameron County,48061,County,2020,Year,65459
Texas,TX,Camp County,48063,County,2020,Year,2803
Texas,TX,Carson County,48065,County,2020,Year,1218
Texas,TX,Cass County,48067,County,2020,Year,8084
Texas,TX,Castro County,48069,County,2020,Year,1218
Texas,TX,Chambers County,48071,County,2020,Year,6435
Texas,TX,Cherokee County,48073,County,2020,Year,10743
Texas,TX,Childress County,48075,County,2020,Year,1320
Texas,TX,Clay County,48077,County,2020,Year,2660
Texas,TX,Cochran County,48079,County,2020,Year,559
Texas,TX,Coke County,48081,County,2020,Year,944
Texas,TX,Coleman County,48083,County,2020,Year,2524
Texas,TX,Collin County,48085,County,2020,Year,124598
Texas,TX,Collingsworth County,48087,County,2020,Year,642
Texas,TX,Colorado County,48089,County,2020,Year,5335
Texas,TX,Comal County,48091,County,2020,Year,35281
Texas,TX,Comanche County,48093,County,2020,Year,3589
Texas,TX,Concho County,48095,County,2020,Year,729
Texas,TX,Cooke County,48097,County,2020,Year,8413
Texas,TX,Coryell County,48099,County,2020,Year,10736
Texas,TX,Cottle County,48101,County,2020,Year,414
Texas,TX,Crane County,48103,County,2020,Year,677
Texas,TX,Crockett County,48105,County,2020,Year,728
Texas,TX,Crosby County,48107,County,2020,Year,1276
Texas,TX,Culberson County,48109,County,2020,Year,552
Texas,TX,Dallam County,48111,County,2020,Year,963
Texas,TX,Dallas County,48113,County,2020,Year,325213
Texas,TX,Dawson County,48115,County,2020,Year,2303
Texas,TX,Deaf Smith County,48117,County,2020,Year,2759
Texas,TX,Delta County,48119,County,2020,Year,1378
Texas,TX,Denton County,48121,County,2020,Year,103783
Texas,TX,Dewitt County,48123,County,2020,Year,4536
Texas,TX,Dickens County,48125,County,2020,Year,540
Texas,TX,Dimmit County,48127,County,2020,Year,1952
Texas,TX,Donley County,48129,County,2020,Year,893
Texas,TX,Duval County,48131,County,2020,Year,2376
Texas,TX,Eastland County,48133,County,2020,Year,4629
Texas,TX,Ector County,48135,County,2020,Year,19637
Texas,TX,Edwards County,48137,County,2020,Year,539
Texas,TX,El Paso County,48141,County,2020,Year,133333
Texas,TX,Ellis County,48139,County,2020,Year,29405
Texas,TX,Erath County,48143,County,2020,Year,6926
Texas,TX,Falls County,48145,County,2020,Year,3670
Texas,TX,Fannin County,48147,County,2020,Year,7781
Texas,TX,Fayette County,48149,County,2020,Year,7063
Texas,TX,Fisher County,48151,County,2020,Year,967
Texas,TX,Floyd County,48153,County,2020,Year,1244
Texas,TX,Foard County,48155,County,2020,Year,344
Texas,TX,Fort Bend County,48157,County,2020,Year,100642
Texas,TX,Franklin County,48159,County,2020,Year,2388
Texas,TX,Freestone County,48161,County,2020,Year,4408
Texas,TX,Frio County,48163,County,2020,Year,2784
Texas,TX,Gaines County,48165,County,2020,Year,2025
Texas,TX,Galveston County,48167,County,2020,Year,57969
Texas,TX,Garza County,48169,County,2020,Year,860
Texas,TX,Gillespie County,48171,County,2020,Year,8725
Texas,TX,Glasscock County,48173,County,2020,Year,192
Texas,TX,Goliad County,48175,County,2020,Year,1765
Texas,TX,Gonzales County,48177,County,2020,Year,4072
Texas,TX,Gray County,48179,County,2020,Year,4093
Texas,TX,Grayson County,48181,County,2020,Year,29354
Texas,TX,Gregg County,48183,County,2020,Year,24756
Texas,TX,Grimes County,48185,County,2020,Year,6029
Texas,TX,Guadalupe County,48187,County,2020,Year,27824
Texas,TX,Hale County,48189,County,2020,Year,5518
Texas,TX,Hall County,48191,County,2020,Year,806
Texas,TX,Hamilton County,48193,County,2020,Year,2327
Texas,TX,Hansford County,48195,County,2020,Year,928
Texas,TX,Hardeman County,48197,County,2020,Year,970
Texas,TX,Hardin County,48199,County,2020,Year,11647
Texas,TX,Harris County,48201,County,2020,Year,562967
Texas,TX,Harrison County,48203,County,2020,Year,13587
Texas,TX,Hartley County,48205,County,2020,Year,664
Texas,TX,Haskell County,48207,County,2020,Year,1352
Texas,TX,Hays County,48209,County,2020,Year,31817
